text,language,label
"Die Bundesregierung hat den Haushaltsentwurf für das kommende Jahr vorgestellt.",German,0
"Die Europäische Zentralbank beließ den Leitzins auf dem aktuellen Niveau.",German,0
"Der Deutsche Wetterdienst warnt vor starkem Regen im Süden des Landes.",German,0
"Forscher einer deutschen Universität veröffentlichten eine neue Studie zur Solarenergie.",German,0
"Das Statistische Bundesamt meldete einen leichten Anstieg der Verbraucherpreise.",German,0
"Die Deutsche Bahn kündigte den Ausbau mehrerer Regionalstrecken an.",German,0
"Das Bundesgesundheitsministerium startet eine neue Impfkampagne gegen Grippe.",German,0
"Der Bundestag verabschiedete ein Gesetz zum Ausbau erneuerbarer Energien.",German,0
"Die deutsche Fußballnationalmannschaft gewann ihr Qualifikationsspiel.",German,0
"Ein Automobilhersteller meldete steigende Absatzzahlen im dritten Quartal.",German,0
"Die Stadt München kündigte neue Maßnahmen zur Verbesserung des Nahverkehrs an.",German,0
"Das Umweltbundesamt veröffentlichte einen Bericht über die Luftqualität in Städten.",German,0
"Die Universität Heidelberg eröffnete ein neues Forschungszentrum für Medizin.",German,0
"Der Wirtschaftsminister stellte ein Förderprogramm für kleine Unternehmen vor.",German,0
"Die Feuerwehr konnte einen Brand in einem Lagerhaus rasch unter Kontrolle bringen.",German,0
"Das Bildungsministerium kündigte zusätzliche Mittel für Schulen an.",German,0
"Eine Forschungsgruppe präsentierte Fortschritte bei der Batterietechnologie.",German,0
"Die Bundesnetzagentur informierte über den Ausbau des Mobilfunknetzes.",German,0
"Der Flughafen Frankfurt verzeichnete wieder mehr Passagiere als im Vorjahr.",German,0
"Das Robert-Koch-Institut veröffentlichte aktuelle Daten zur Grippewelle.",German,0
"Die Regierung plant Investitionen in den Ausbau der Ladeinfrastruktur.",German,0
"Ein Museum in Berlin kündigte eine neue Sonderausstellung an.",German,0
"Die Landwirtschaftsbehörde stellte Maßnahmen zur Ernteförderung vor.",German,0
"Der Handelsverband meldete stabile Umsätze im Einzelhandel.",German,0
"Schock: Die Regierung verteilt heimlich eine Million Euro an jeden Bürger.",German,1
"Eilmeldung: Auf dem Mond wurde eine von Außerirdischen gebaute Stadt entdeckt.",German,1
"Wissenschaftler bestätigen: Eine bestimmte Frucht heilt Krebs über Nacht.",German,1
"Ein berühmter Prominenter soll in Wahrheit ein Außerirdischer sein.",German,1
"Geheimdokument enthüllt: Das Internet wird ab morgen für immer abgeschaltet.",German,1
"Ein Mann gewann angeblich hundertmal hintereinander im Lotto.",German,1
"Studie behauptet: Wer Wasser rückwärts trinkt, bekommt perfekte Sehkraft.",German,1
"Gerüchte: In bestimmten Impfstoffen seien Mikrochips zur Ortung versteckt.",German,1
"Enthüllt: 5G-Strahlung soll die Gedanken der Menschen steuern.",German,1
"Die Erde sei in Wahrheit flach und die Regierung verschweige es, heißt es.",German,1
"Ein ganzes Dorf sei über Nacht um fünfzig Jahre jünger geworden.",German,1
"Ein Konzernchef habe sein gesamtes Vermögen an streunende Katzen vererbt.",German,1
"Ein neues Getränk verspricht, dass Menschen damit fliegen können.",German,1
"Anonyme Quelle: Forscher hätten eine funktionierende Zeitmaschine gebaut.",German,1
"Angeblich lädt sich ein Handy in der Mikrowelle unendlich auf.",German,1
"Die Regierung führe heimlich Experimente durch, um den Himmel umzufärben.",German,1
"Ein Schüler sei während einer Prüfung plötzlich unsichtbar geworden.",German,1
"Ein Schluck Meerwasser soll angeblich alle Krankheiten verschwinden lassen.",German,1
"Eine neue App fülle das Bankkonto jeden Tag von selbst mit Geld.",German,1
"Ab morgen würden alle Straßen kostenlos in selbstfahrende Spuren verwandelt.",German,1
"Ein bekannter Berg habe über Nacht seinen Standort gewechselt.",German,1
"Wer ein Ei unter das Kissen legt, gewinne angeblich im Lotto.",German,1
"Eine gefälschte Mitteilung kündigt eine neue Steuer auf Atemluft an.",German,1
"Ein Unternehmen behauptet, eine Pille zur Wiederbelebung Verstorbener verkauft zu haben.",German,1
